"","X1","Tourney_Address","Tourney_Lat","Tourney_Lon","Tourney_Round","Tourney_Round_Year","Tourney_City","Tourney_State","Tourney_Stadium","Tourney_Postal_Code"
"109",48,"Chicago, Illinois, Alumni Hall",-87.6443779,41.732804,"Opening rounds",1960,"Chicago","Illinois","Alumni Hall","IL"
"110",49,"Chicago, Illinois, Chicago Stadium",-87.6717522,41.8813678,"Opening rounds",1952,"Chicago","Illinois","Chicago Stadium","IL"
"111",50,"Chicago, Illinois, United Center",-87.6741759,41.8806908,"Opening rounds",1998,"Chicago","Illinois","United Center","IL"
"112",50,"Chicago, Illinois, United Center",-87.6741759,41.8806908,"Opening rounds",2002,"Chicago","Illinois","United Center","IL"
"113",50,"Chicago, Illinois, United Center",-87.6741759,41.8806908,"Opening rounds",2007,"Chicago","Illinois","United Center","IL"
"114",50,"Chicago, Illinois, United Center",-87.6741759,41.8806908,"Opening rounds",2011,"Chicago","Illinois","United Center","IL"
"115",52,"Evanston, Illinois, Welsh-Ryan Arena",-87.6924696,42.0668161,"Opening rounds",1958,"Evanston","Illinois","Welsh-Ryan Arena","IL"
"116",52,"Evanston, Illinois, Welsh-Ryan Arena",-87.6924696,42.0668161,"Opening rounds",1963,"Evanston","Illinois","Welsh-Ryan Arena","IL"
"117",53,"Peoria, Illinois, Robertson Memorial Field House",-89.612763,40.699215,"Opening rounds",1954,"Peoria","Illinois","Robertson Memorial Field House","IL"
"118",54,"Bloomington, Indiana, Assembly Hall",-86.5221541,39.180866,"Opening rounds",1977,"Bloomington","Indiana","Assembly Hall","IN"
"119",54,"Bloomington, Indiana, Assembly Hall",-86.5221541,39.180866,"Opening rounds",1979,"Bloomington","Indiana","Assembly Hall","IN"
"120",55,"Evansville, Indiana, Roberts Municipal Stadium",-87.5137676,37.9778137,"Opening rounds",1983,"Evansville","Indiana","Roberts Municipal Stadium","IN"
"121",56,"Fort Wayne, Indiana, Allen County War Memorial Coliseum",-85.123583,41.115007,"Opening rounds",1953,"Fort Wayne","Indiana","Allen County War Memorial Coliseum","IN"
"122",56,"Fort Wayne, Indiana, Allen County War Memorial Coliseum",-85.123583,41.115007,"Opening rounds",1954,"Fort Wayne","Indiana","Allen County War Memorial Coliseum","IN"
"123",56,"Fort Wayne, Indiana, Allen County War Memorial Coliseum",-85.123583,41.115007,"Opening rounds",1956,"Fort Wayne","Indiana","Allen County War Memorial Coliseum","IN"
"124",58,"Indianapolis, Indiana, Market Square Arena",-86.1512111,39.7685946,"Opening rounds",1978,"Indianapolis","Indiana","Market Square Arena","IN"
"125",58,"Indianapolis, Indiana, Market Square Arena",-86.1512111,39.7685946,"Opening rounds",1982,"Indianapolis","Indiana","Market Square Arena","IN"
"126",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",1987,"Indianapolis","Indiana","RCA Dome","IN"
"127",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",1989,"Indianapolis","Indiana","RCA Dome","IN"
"128",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",1990,"Indianapolis","Indiana","RCA Dome","IN"
"129",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",1993,"Indianapolis","Indiana","RCA Dome","IN"
"130",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",1996,"Indianapolis","Indiana","RCA Dome","IN"
"131",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",1999,"Indianapolis","Indiana","RCA Dome","IN"
"132",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",2003,"Indianapolis","Indiana","RCA Dome","IN"
"133",59,"Indianapolis, Indiana, RCA Dome",-86.1311569,39.752277,"Opening rounds",2005,"Indianapolis","Indiana","RCA Dome","IN"
"134",60,"Indianapolis, Indiana, Bankers Life Fieldhouse",-86.1555392,39.7639878,"Opening rounds",2017,"Indianapolis","Indiana","Bankers Life Fieldhouse","IN"
"135",62,"South Bend, Indiana, Edmund P. Joyce Center",-86.2311409,41.6972526,"Opening rounds",1971,"South Bend","Indiana","Edmund P. Joyce Center","IN"
"136",62,"South Bend, Indiana, Edmund P. Joyce Center",-86.2311409,41.6972526,"Opening rounds",1976,"South Bend","Indiana","Edmund P. Joyce Center","IN"
"137",62,"South Bend, Indiana, Edmund P. Joyce Center",-86.2311409,41.6972526,"Opening rounds",1985,"South Bend","Indiana","Edmund P. Joyce Center","IN"
"138",62,"South Bend, Indiana, Edmund P. Joyce Center",-86.2311409,41.6972526,"Opening rounds",1988,"South Bend","Indiana","Edmund P. Joyce Center","IN"
"139",63,"Terre Haute, Indiana, Hulman Center",-87.4051217,39.4685021,"Opening rounds",1974,"Terre Haute","Indiana","Hulman Center","IN"
"140",64,"West Lafayette, Indiana, Mackey Arena",-86.9157668,40.4332234,"Opening rounds",1980,"West Lafayette","Indiana","Mackey Arena","IN"
"141",66,"Des Moines, Iowa, Wells Fargo Arena",-93.6210651,41.5926623,"Opening rounds",2016,"Des Moines","Iowa","Wells Fargo Arena","IA"
"142",66,"Des Moines, Iowa, Wells Fargo Arena",-93.6210651,41.5926623,"Opening rounds",2019,"Des Moines","Iowa","Wells Fargo Arena","IA"
"143",68,"Lawrence, Kansas, Allen Fieldhouse",-95.2527792,38.954145,"Opening rounds",1976,"Lawrence","Kansas","Allen Fieldhouse","KS"
"144",68,"Lawrence, Kansas, Allen Fieldhouse",-95.2527792,38.954145,"Opening rounds",1979,"Lawrence","Kansas","Allen Fieldhouse","KS"
"145",70,"Wichita, Kansas, Charles Koch Arena",-97.2974408,37.7216934,"Opening rounds",1956,"Wichita","Kansas","Charles Koch Arena","KS"
"146",70,"Wichita, Kansas, Charles Koch Arena",-97.2974408,37.7216934,"Opening rounds",1966,"Wichita","Kansas","Charles Koch Arena","KS"
"147",70,"Wichita, Kansas, Charles Koch Arena",-97.2974408,37.7216934,"Opening rounds",1973,"Wichita","Kansas","Charles Koch Arena","KS"
"148",70,"Wichita, Kansas, Charles Koch Arena",-97.2974408,37.7216934,"Opening rounds",1978,"Wichita","Kansas","Charles Koch Arena","KS"
"149",70,"Wichita, Kansas, Charles Koch Arena",-97.2974408,37.7216934,"Opening rounds",1981,"Wichita","Kansas","Charles Koch Arena","KS"
"150",71,"Wichita (Park City), Kansas, Kansas Coliseum",-97.3189608,37.8360682,"Opening rounds",1994,"Wichita (Park City)","Kansas","Kansas Coliseum","KS"
"151",72,"Wichita, Kansas, Intrust Bank Arena",-97.3320351,37.6833635,"Opening rounds",2018,"Wichita","Kansas","Intrust Bank Arena","KS"
"152",72,"Wichita, Kansas, Intrust Bank Arena",-97.3320351,37.6833635,"Opening rounds",2021,"Wichita","Kansas","Intrust Bank Arena","KS"
"153",73,"Bowling Green, Kentucky, E. A. Diddle Arena",-86.4576141,36.9863238,"Opening rounds",1965,"Bowling Green","Kentucky","E. A. Diddle Arena","KY"
"154",73,"Bowling Green, Kentucky, E. A. Diddle Arena",-86.4576141,36.9863238,"Opening rounds",1980,"Bowling Green","Kentucky","E. A. Diddle Arena","KY"
"155",74,"Lexington, Kentucky, Memorial Coliseum",-84.5005112,38.0394389,"Opening rounds",1955,"Lexington","Kentucky","Memorial Coliseum","KY"
"156",74,"Lexington, Kentucky, Memorial Coliseum",-84.5005112,38.0394389,"Opening rounds",1959,"Lexington","Kentucky","Memorial Coliseum","KY"
"157",74,"Lexington, Kentucky, Memorial Coliseum",-84.5005112,38.0394389,"Opening rounds",1960,"Lexington","Kentucky","Memorial Coliseum","KY"
"158",74,"Lexington, Kentucky, Memorial Coliseum",-84.5005112,38.0394389,"Opening rounds",1962,"Lexington","Kentucky","Memorial Coliseum","KY"
"159",74,"Lexington, Kentucky, Memorial Coliseum",-84.5005112,38.0394389,"Opening rounds",1967,"Lexington","Kentucky","Memorial Coliseum","KY"
"160",74,"Lexington, Kentucky, Memorial Coliseum",-84.5005112,38.0394389,"Opening rounds",1975,"Lexington","Kentucky","Memorial Coliseum","KY"
"161",75,"Lexington, Kentucky, Rupp Arena",-84.5022738,38.0486909,"Opening rounds",1994,"Lexington","Kentucky","Rupp Arena","KY"
"162",75,"Lexington, Kentucky, Rupp Arena",-84.5022738,38.0486909,"Opening rounds",1998,"Lexington","Kentucky","Rupp Arena","KY"
"163",75,"Lexington, Kentucky, Rupp Arena",-84.5022738,38.0486909,"Opening rounds",2007,"Lexington","Kentucky","Rupp Arena","KY"
"164",75,"Lexington, Kentucky, Rupp Arena",-84.5022738,38.0486909,"Opening rounds",2013,"Lexington","Kentucky","Rupp Arena","KY"
"165",75,"Lexington, Kentucky, Rupp Arena",-84.5022738,38.0486909,"Opening rounds",2021,"Lexington","Kentucky","Rupp Arena","KY"
"166",76,"Louisville, Kentucky, Freedom Hall",-85.7419065,38.2002427,"Opening rounds",1983,"Louisville","Kentucky","Freedom Hall","KY"
"167",76,"Louisville, Kentucky, Freedom Hall",-85.7419065,38.2002427,"Opening rounds",1991,"Louisville","Kentucky","Freedom Hall","KY"
"168",77,"Louisville, Kentucky, KFC Yum! Center",-85.7538323,38.2577834,"Opening rounds",2012,"Louisville","Kentucky","KFC Yum! Center","KY"
"169",77,"Louisville, Kentucky, KFC Yum! Center",-85.7538323,38.2577834,"Opening rounds",2015,"Louisville","Kentucky","KFC Yum! Center","KY"
"170",78,"Baton Rouge, Louisiana, Pete Maravich Assembly Center",-91.1846265,30.4142761,"Opening rounds",1977,"Baton Rouge","Louisiana","Pete Maravich Assembly Center","LA"
"171",78,"Baton Rouge, Louisiana, Pete Maravich Assembly Center",-91.1846265,30.4142761,"Opening rounds",1986,"Baton Rouge","Louisiana","Pete Maravich Assembly Center","LA"
"172",80,"New Orleans, Louisiana, Mercedes-Benz Superdome",-90.0812442,29.951061,"Opening rounds",1999,"New Orleans","Louisiana","Mercedes-Benz Superdome","LA"
"173",80,"New Orleans, Louisiana, Mercedes-Benz Superdome",-90.0812442,29.951061,"Opening rounds",2001,"New Orleans","Louisiana","Mercedes-Benz Superdome","LA"
"174",81,"New Orleans, Louisiana, Smoothie King Center",-90.0820568,29.9490351,"Opening rounds",2007,"New Orleans","Louisiana","Smoothie King Center","LA"
"175",81,"New Orleans, Louisiana, Smoothie King Center",-90.0820568,29.9490351,"Opening rounds",2010,"New Orleans","Louisiana","Smoothie King Center","LA"
"176",82,"Baltimore, Maryland, Royal Farms Arena",-76.6186668,39.2885817,"Opening rounds",1995,"Baltimore","Maryland","Royal Farms Arena","MD"
"177",83,"College Park, Maryland, Cole Field House",-76.9467608,38.9880061,"Opening rounds",1968,"College Park","Maryland","Cole Field House","MD"
"178",83,"College Park, Maryland, Cole Field House",-76.9467608,38.9880061,"Opening rounds",1991,"College Park","Maryland","Cole Field House","MD"
"179",84,"Landover, Maryland, Capital Centre",-76.8477768,38.9029175,"Opening rounds",1994,"Landover","Maryland","Capital Centre","MD"
"180",85,"Boston, Massachusetts, TD Garden",-71.062146,42.366198,"Opening rounds",1999,"Boston","Massachusetts","TD Garden","MA"
"181",85,"Boston, Massachusetts, TD Garden",-71.062146,42.366198,"Opening rounds",2003,"Boston","Massachusetts","TD Garden","MA"
"182",86,"Worcester, Massachusetts, DCU Center",-71.7988353,42.2653391,"Opening rounds",1992,"Worcester","Massachusetts","DCU Center","MA"
