"","Address","Arena","City","State  Abrv","State","Team","Gender Distinction","Conference","Capacity","Opened","Lat","Lon"
"79","Villanova, PA, Finneran Pavilion[e]","Finneran Pavilion[e]","Villanova","PA","Pennsylvania","Villanova",NA,"Big East","6,500","1986",-75.336514,40.034042
"80","Cincinnati, OH, Cintas Center","Cintas Center","Cincinnati","OH","Ohio","Xavier",NA,"Big East","10,250","2000",-84.4718415,39.1503616
"81","Cheney, WA, Reese Court","Reese Court","Cheney","WA","Washington","Eastern Washington",NA,"Big Sky","6,000","1981",-117.5893925,47.4913724
"82","Moscow, ID, Cowan Spectrum[f]","Cowan Spectrum[f]","Moscow","ID","Idaho","Idaho",NA,"Big Sky","7,000","1975",-117.0173906,46.7263518
"83","Pocatello, ID, Holt Arena","Holt Arena","Pocatello","ID","Idaho","Idaho State men","Men","Big Sky","8,000","1970",-112.4285716,42.8699998
"84","Missoula, MT, Dahlberg Arena","Dahlberg Arena","Missoula","MT","Montana","Montana",NA,"Big Sky","7,321","1953",-113.983347,46.8635552
"85","Bozeman, MT, Worthington Arena","Worthington Arena","Bozeman","MT","Montana","Montana State",NA,"Big Sky","7,250","1957",-111.0506591,45.6633486
"86","Flagstaff, AZ, Walkup Skydome","Walkup Skydome","Flagstaff","AZ","Arizona","Northern Arizona",NA,"Big Sky","11,230","1977",-111.6528102,35.1805078
"87","Greeley, CO, Bank of Colorado Arena","Bank of Colorado Arena","Greeley","CO","Colorado","Northern Colorado",NA,"Big Sky","2,992","1975",-104.7030436,40.4022171
"88","Portland, OR, Peter Stott Center","Peter Stott Center","Portland","OR","Oregon","Portland State",NA,"Big Sky","2,000","1966",-122.6867564,45.5110426
"89","Sacramento, CA, Hornets Nest","Hornets Nest","Sacramento","CA","California","Sacramento State",NA,"Big Sky","1,012[1]","1955",-121.4266147,38.5619639
"90","Cedar City, UT, America First Events Center","America First Events Center","Cedar City","UT","Utah","Southern Utah",NA,"Big Sky","5,300","1985",-113.0728667,37.6755309
"91","Ogden, UT, Dee Events Center","Dee Events Center","Ogden","UT","Utah","Weber State",NA,"Big Sky","11,500","1977",-111.9450635,41.1823818
"92","Buies Creek, NC, John W. Pope, Jr. Convocation Center","John W. Pope, Jr. Convocation Center","Buies Creek","NC","North Carolina","Campbell",NA,"Big South","3,095","2008",-78.7367719,35.4078504
"93","North Charleston, SC, CSU Field House","CSU Field House","North Charleston","SC","South Carolina","Charleston Southern",NA,"Big South","881","1965",-80.0670864,32.9807901
"94","Boiling Springs, NC, Paul Porter Arena","Paul Porter Arena","Boiling Springs","NC","North Carolina","Gardner–Webb",NA,"Big South","5,000","1982",-81.6695574,35.2465436
"95","Hampton, VA, Hampton Convocation Center","Hampton Convocation Center","Hampton","VA","Virginia","Hampton",NA,"Big South","7,200","1993",-76.3310786,37.0198344
"96","High Point, NC, Millis Athletic Convocation Center","Millis Athletic Convocation Center","High Point","NC","North Carolina","High Point",NA,"Big South","1,750","1992",-79.9960005,35.9711065
"97","Farmville, VA, Willett Hall","Willett Hall","Farmville","VA","Virginia","Longwood",NA,"Big South","1,807","1980",-76.3472707,36.8385299
"98","Clinton, SC, Templeton Physical Education Center","Templeton Physical Education Center","Clinton","SC","South Carolina","Presbyterian",NA,"Big South","2,300","1975",-81.8689853,34.4650766
"99","Radford, VA, Dedmon Center","Dedmon Center","Radford","VA","Virginia","Radford",NA,"Big South","3,205","1981",-80.5415574,37.138475
"100","Asheville, NC, Kimmel Arena","Kimmel Arena","Asheville","NC","North Carolina","UNC Asheville",NA,"Big South","3,200","2011",-82.5673128,35.616292
"101","Spartanburg, SC, G. B. Hodge Center","G. B. Hodge Center","Spartanburg","SC","South Carolina","USC Upstate",NA,"Big South","878","1973",-81.9688331,34.9957778
"102","Rock Hill, SC, Winthrop Coliseum","Winthrop Coliseum","Rock Hill","SC","South Carolina","Winthrop",NA,"Big South","6,100","1982",-81.0149026,34.9480739
"103","Champaign, IL, State Farm Center","State Farm Center","Champaign","IL","Illinois","Illinois",NA,"Big Ten","16,618","1963",-88.2358984,40.0961996
"104","Bloomington, IN, Simon Skjodt Assembly Hall","Simon Skjodt Assembly Hall","Bloomington","IN","Indiana","Indiana",NA,"Big Ten","17,472","1971",-86.5221541,39.180866
"105","Iowa City, IA, Carver–Hawkeye Arena","Carver–Hawkeye Arena","Iowa City","IA","Iowa","Iowa",NA,"Big Ten","15,500","1983",-91.5546047,41.663778
"106","College Park, MD, Xfinity Center","Xfinity Center","College Park","MD","Maryland","Maryland",NA,"Big Ten","17,950","2002",-76.9413918,38.9953452
"107","Ann Arbor, MI, Crisler Center","Crisler Center","Ann Arbor","MI","Michigan","Michigan",NA,"Big Ten","12,707","1967",-83.7467082,42.2650465
"108","East Lansing, MI, Breslin Student Events Center","Breslin Student Events Center","East Lansing","MI","Michigan","Michigan State",NA,"Big Ten","14,797","1989",-84.4923695,42.7283325
"109","Minneapolis, MN, Williams Arena","Williams Arena","Minneapolis","MN","Minnesota","Minnesota",NA,"Big Ten","14,625","1928",-93.2279713,44.9768472
"110","Lincoln, NE, Pinnacle Bank Arena","Pinnacle Bank Arena","Lincoln","NE","Nebraska","Nebraska",NA,"Big Ten","15,147","2013",-96.7126194,40.817931
"111","Evanston, IL, Welsh-Ryan Arena","Welsh-Ryan Arena","Evanston","IL","Illinois","Northwestern",NA,"Big Ten","8,117","1952",-87.6924696,42.0668161
"112","Columbus, OH, Value City Arena","Value City Arena","Columbus","OH","Ohio","Ohio State",NA,"Big Ten","18,809","1998",-83.0250631,40.00766
"113","University Park, PA, Bryce Jordan Center","Bryce Jordan Center","University Park","PA","Pennsylvania","Penn State",NA,"Big Ten","15,261","1996",-77.8556061,40.8086107
"114","West Lafayette, IN, Mackey Arena","Mackey Arena","West Lafayette","IN","Indiana","Purdue",NA,"Big Ten","14,848","1967",-86.9157668,40.4332234
"115","Piscataway, NJ, Louis Brown Athletic Center","Louis Brown Athletic Center","Piscataway","NJ","New Jersey","Rutgers",NA,"Big Ten","8,000","1977",-74.441353,40.52525
"116","Madison, WI, Kohl Center","Kohl Center","Madison","WI","Wisconsin","Wisconsin",NA,"Big Ten","17,249","1998",-89.39672,43.069396
"117","San Luis Obispo, CA, Mott Gym","Mott Gym","San Luis Obispo","CA","California","Cal Poly",NA,"Big West","3,032","1960",-120.6585838,35.2988715
"118","Fullerton, CA, Titan Gym","Titan Gym","Fullerton","CA","California","Cal State Fullerton",NA,"Big West","4,000","1964",-117.8858875,33.883022
"119","Northridge, CA, Matadome","Matadome","Northridge","CA","California","Cal State Northridge",NA,"Big West","2,400","1962",-118.5259044,34.2419495
"120","Honolulu, HI, Stan Sheriff Center","Stan Sheriff Center","Honolulu","HI","Hawaii","Hawaii men","Men","Big West","10,300","1994",-157.8189039,21.2942882
"121","Long Beach, CA, Walter Pyramid","Walter Pyramid","Long Beach","CA","California","Long Beach State",NA,"Big West","5,000","1994",-118.1143892,33.7873979
"122","Davis, CA, The Pavilion at ARC","The Pavilion at ARC","Davis","CA","California","UC Davis",NA,"Big West","7,600","1977",-121.7596409,38.5417908
"123","Irvine, CA, Bren Events Center","Bren Events Center","Irvine","CA","California","UC Irvine",NA,"Big West","4,984","1987",-117.8470597,33.6494028
"124","Riverside, CA, Student Recreation Center Arena","Student Recreation Center Arena","Riverside","CA","California","UC Riverside",NA,"Big West","3,168","1994",-117.3279454,33.9782498
"125","Santa Barbara, CA, UC Santa Barbara Events Center","UC Santa Barbara Events Center","Santa Barbara","CA","California","UC Santa Barbara",NA,"Big West","5,600","1979",-119.8452672,34.4112195
"126","Charleston, SC, TD Arena","TD Arena","Charleston","SC","South Carolina","Charleston",NA,"CAA","5,100","2008",-79.9343716,32.7854388
"127","Newark, DE, Bob Carpenter Center","Bob Carpenter Center","Newark","DE","Delaware","Delaware",NA,"CAA","5,000","1992",-75.748991,39.660489
"128","Philadelphia, PA, Daskalakis Athletic Center","Daskalakis Athletic Center","Philadelphia","PA","Pennsylvania","Drexel",NA,"CAA","2,509","1974",-75.1907406,39.9563762
"129","Elon, NC, Schar Center","Schar Center","Elon","NC","North Carolina","Elon",NA,"CAA","5,100","2018",-79.5108076,36.1080342
"130","Hempstead, NY, Hofstra Arena","Hofstra Arena","Hempstead","NY","New York","Hofstra",NA,"CAA","5,124","2000",-73.5968515,40.7197194
"131","Harrisonburg, VA, James Madison University Convocation Center","James Madison University Convocation Center","Harrisonburg","VA","Virginia","James Madison",NA,"CAA","7,156","1982",-78.8688456,38.4319182
"132","Boston, MA, Matthews Arena","Matthews Arena","Boston","MA","Massachusetts","Northeastern men","Men","CAA","6,000","1910",-71.084523,42.3412352
"133","Towson, MD, SECU Arena","SECU Arena","Towson","MD","Maryland","Towson",NA,"CAA","5,200","2013",-76.6171503,39.3873866
"134","Wilmington, NC, Trask Coliseum","Trask Coliseum","Wilmington","NC","North Carolina","UNC Wilmington",NA,"CAA","5,200","1977",-77.8783141,34.2249981
"135","Williamsburg, VA, Kaplan Arena","Kaplan Arena","Williamsburg","VA","Virginia","William & Mary",NA,"CAA","8,600","1971",-76.719668,37.2734888
"136","Charlotte, NC, Dale F. Halton Arena","Dale F. Halton Arena","Charlotte","NC","North Carolina","Charlotte",NA,"C-USA","9,105","1996",-80.8312199,35.2169489
"137","Boca Raton, FL, FAU Arena","FAU Arena","Boca Raton","FL","Florida","Florida Atlantic",NA,"C-USA","5,000","1984",-80.1093647,26.3723396
"138","Miami, FL, FIU Arena","FIU Arena","Miami","FL","Florida","Florida International",NA,"C-USA","5,000","1986",-80.3795409,25.7569257
"139","Ruston, LA, Thomas Assembly Center","Thomas Assembly Center","Ruston","LA","Louisiana","Louisiana Tech",NA,"C-USA","8,098","1982",-92.658733,32.5319955
"140","Huntington, WV, Cam Henderson Center","Cam Henderson Center","Huntington","WV","West Virginia","Marshall",NA,"C-USA","9,048","1981",-82.4250555,38.4243695
"141","Murfreesboro, TN, Murphy Center","Murphy Center","Murfreesboro","TN","Tennessee","Middle Tennessee",NA,"C-USA","11,520","1972",-86.3694547,35.8523923
