Address	Arena 	City 	State  Abrv	State	Team 	Gender Distinction	Conference 	Capacity 	Opened
"Huntington, WV, Cam Henderson Center"	Cam Henderson Center	Huntington	WV	West Virginia	Marshall 		C-USA 	"9,048"	1981
"Murfreesboro, TN, Murphy Center"	Murphy Center	Murfreesboro	TN	Tennessee	Middle Tennessee 		C-USA 	"11,520"	1972
"Denton, TX, UNT Coliseum"	UNT Coliseum	Denton	TX	Texas	North Texas 		C-USA 	"10,032"	1973
"Norfolk, VA, Ted Constant Convocation Center"	Ted Constant Convocation Center	Norfolk	VA	Virginia	Old Dominion 		C-USA 	"9,520"	2002
"Houston, TX, Tudor Fieldhouse"	Tudor Fieldhouse	Houston	TX	Texas	Rice 		C-USA 	"5,750"	1950
"Hattiesburg, MS, Reed Green Coliseum"	Reed Green Coliseum	Hattiesburg	MS	Mississippi	Southern Miss 		C-USA 	"8,095"	1965
"Birmingham, AL, Bartow Arena"	Bartow Arena	Birmingham	AL	Alabama	UAB 		C-USA 	"8,508"	1988
"El Paso, TX, Don Haskins Center"	Don Haskins Center	El Paso	TX	Texas	UTEP 		C-USA 	"12,222"	1976
"San Antonio, TX, Convocation Center"	Convocation Center	San Antonio	TX	Texas	UTSA 		C-USA 	"4,080"	1975
"Bowling Green, KY, E. A. Diddle Arena"	E. A. Diddle Arena	Bowling Green	KY	Kentucky	Western Kentucky 		C-USA 	"7,326"	1963
"Cleveland, OH, Wolstein Center"	Wolstein Center	Cleveland	OH	Ohio	Cleveland State 		Horizon 	"13,610"	1991
"Detroit, MI, Calihan Hall"	Calihan Hall	Detroit	MI	Michigan	Detroit Mercy 		Horizon 	"8,295"	1952
"Ashwaubenon, WI, Resch Center"	Resch Center	Ashwaubenon	WI	Wisconsin	Green Bay 	Men	Horizon 	"9,729"	2002
"Indianapolis, IN, Indiana Farmers Coliseum"	Indiana Farmers Coliseum	Indianapolis	IN	Indiana	IUPUI 	Men	Horizon 	"6,841"	1939
"Milwaukee, WI, UW–Milwaukee Panther Arena"	UW–Milwaukee Panther Arena	Milwaukee	WI	Wisconsin	Milwaukee 	Men	Horizon 	"10,783"	1950
"Highland Heights, KY, BB&T Arena"	BB&T Arena	Highland Heights	KY	Kentucky	Northern Kentucky 		Horizon 	"9,400"	2008
"Rochester, MI, Athletics Center O'rena"	Athletics Center O'rena	Rochester	MI	Michigan	Oakland 		Horizon 	"4,005"	1998
"Chicago, IL, UIC Pavilion"	UIC Pavilion	Chicago	IL	Illinois	UIC 		Horizon 	"6,958"	1982
"Fairborn, OH, Nutter Center"	Nutter Center	Fairborn	OH	Ohio	Wright State 		Horizon 	"10,400"	1990
"Youngstown, OH, Beeghly Center"	Beeghly Center	Youngstown	OH	Ohio	Youngstown State 		Horizon 	"6,500"	1972
